draw_size,best_of,rel_match_elo_pre,rel_serve_elo_pre,rel_return_elo_pre,rel_rank_points,rel_age,rel_ht,rel_ace_rate_52w,rel_df_rate_52w,rel_1stIn_pct_52w,rel_1stWon_pct_52w,rel_2ndWon_pct_52w,rel_bp_saved_pct_52w,rel_bp_converted_pct_52w,rel_career_matches,rel_surface_matches,rel_h2h_win_diff,h2h_matches,rel_return_elo_x_clay,rel_serve_elo_x_grass,surface=CLAY,surface=GRASS,surface=HARD,tourney_level=A,tourney_level=C,tourney_level=D,tourney_level=F,tourney_level=G,tourney_level=M,tourney_level=O,round=0,round=1,round=2,round=3,round=4,round=5,round=6,round=7,target
32.0,3,-85.11782261762278,-3.787415330522208,-0.8774584297254933,-3311.0,3.3000000000000007,-0.0,-0.0051919601026818,-0.0064671662148001,-0.0038512610679575,-0.0209082817688096,0.0024977852366653,-0.0467224231464737,-0.0638219681502654,-39.0,-16.0,0,0,-0.0,-0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
32.0,3,28.604234994296576,9.97672097992836,-5.924185811961024,175.0,-4.699999999999999,3.0,0.0363313899347247,-0.0106710728376422,-0.0240599403570775,0.0562487473927212,0.038813922493177,0.0423032545555821,-0.01644928744062,-5.0,-4.0,-2,2,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
32.0,3,-14.48206444854054,-9.494406861534117,-7.034645596495011,-66.0,-14.0,0.0,0.0068554537698532,-0.0003332213020335,-0.091931735594642,0.0055851247036052,-0.0048478548478548,-0.001957286036627,0.0038497497662652,7.0,2.0,-1,1,-0.0,-0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
32.0,3,13.78243204645264,-7.348502524968808,12.770279936258248,-360.0,-1.6000000000000014,2.0,0.0252692218619731,0.0131223946271421,-0.0718764474293655,0.0552103034425257,-0.0023142010623438,-0.0365732368896926,0.0314826880119136,-32.0,-17.0,0,0,0.0,-0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
32.0,3,17.15395938008828,-9.276584010905026,18.671947898175404,-896.0,-9.800000000000004,0.0,-0.0621639447373363,-0.0003859250499455,-0.0010785893601069,-0.0503247254131091,-0.0036585053854223,-0.0271032311872798,0.0319776393396025,-29.0,-9.0,0,0,0.0,-0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
32.0,3,90.32916403513444,30.65893604758321,-13.719173150908093,407.0,6.699999999999999,-8.0,0.0319637192893847,0.0117763084893495,-0.0453398877371811,0.0398574957872306,0.0122303391315876,0.0038485221674876,0.037554964720319,43.0,29.0,0,0,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
32.0,3,3.2673588608981845,11.079216100969916,-14.652256005805611,-117.0,-3.6999999999999993,-0.0,0.0049397387215092,0.0059374335947966,-0.0851899073329822,0.0500784544094856,0.0033220559591613,0.0167128859308559,-0.021787641497951,31.0,16.0,0,0,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
32.0,3,31.91476969649898,2.1684572506624136,-7.7486386734885855,-769.0,-12.2,10.0,0.0505503856537659,0.0042092110825726,-0.0194536849032602,0.0424960155169303,-0.019110483198881,-0.0063645621181263,-0.0023548371666893,-5.0,-5.0,0,0,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
32.0,3,34.995394074179785,9.887699400955851,-8.959990191812949,3022.0,-4.099999999999998,4.0,-0.0200738635203672,0.011095568699162,-0.0063714167388496,-0.0068342288047225,-0.0007609921082299,0.0491558547310134,0.0083678279529544,30.0,21.0,0,0,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
32.0,3,-20.73036467233805,14.66988494297425,-5.033670890702069,-228.0,1.0,-0.0,0.0130747880301637,-0.0121221884430877,0.0358655552603024,0.0111010554903419,0.0330879719536149,0.039387226873732,-0.0386391934771257,-3.0,4.0,-1,1,-0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
